time,scramble
DNF(21.71),D' B2 U B2 R2 D2 L2 R2 B2 R2 D2 R' U B' F L' B2 D' B' L U Fw' Uw 
18.53,U B2 R2 B2 F2 U B2 R2 U' R2 D' L B' D' R' B' D' U2 L' F Fw Uw 
16.71,U2 F2 R U2 B2 R2 B2 R D2 R' D2 L2 F' D L' U' R2 U2 B2 L F Rw' Uw2 
14.12,D' B' R' F2 D' B2 D B2 U' R2 D' R2 D2 F D B' F2 L F2 U' Rw2 Uw2 
28.96,U D L D' B' D' B' D' B' D2 F2 U2 R2 F2 R2 D2 F D2 B2 D' Rw' Uw' 
16.42+,F' L D B2 D2 R2 U B2 U L2 U' R2 U2 L' B F L' B' L2 B' Rw Uw' 
15.91,F D B' D' R2 F2 R2 D' R2 D L2 U B2 D2 R' B' F2 L D U2 B2 Rw' Uw
18.80,U2 L B2 D R2 F2 U B2 D L2 B2 L2 D' F' U B F' U' F2 R 
DNF(0.03),L2 B2 U2 F2 D' B2 F2 D' L2 B2 D L F2 R' F R' D2 B L U2 Rw2 Uw 
DNF(17.77),L D' F2 D B2 U2 F2 R2 B2 D R2 D R' F L2 D B U' B F R2 Rw' 
17.02,R' U2 L U' D2 B L D B' R2 B2 L2 D2 F2 D' R2 L2 D' B2 Rw2 Uw 
15.85,D B2 F2 U2 B2 R2 U' B D2 L' D2 L' U' B U' R2 Rw' Uw 
15.67,D2 L2 R2 U' B2 F2 R2 B2 U L2 U' B' D2 R2 U L' D B2 L' B Uw 
DNF(19.82),D2 R' L2 U2 D L D' R' D F L2 B D2 F2 L2 D2 F U2 F2 D2 Rw' Uw' 
DNF(18.79),R2 D2 R2 F2 D B2 D' B2 U' B2 F2 R D' R2 F L' R' U' L2 U Fw Uw' 
13.61,R' L F2 B' U B2 L' D' R' B2 R2 L' U2 F2 B2 L F2 D Fw' Uw 
16.02,L' F2 D2 L B2 U2 B2 U2 R2 B2 R B' L U' L2 B' U F R U' Rw Uw' 
DNF(17.91),L B L2 D F2 L2 U' R2 F2 U' F2 U' R2 U B' D R F2 R' B2 R' Rw' 
DNF(19.11),R D2 F R2 F L2 D2 B2 D2 F' R2 F2 D' U F' U' L U' F U2 L Rw2 Uw 
17.38,F' R U2 L2 D2 R2 B2 U2 R F2 R' U2 F2 U' R2 B' R' D' F' D' R' Rw Uw 
DNF(18.62),D' F' U R D2 F' L2 U' L U2 R2 B' D2 B' D2 L2 B' R2 B U2 Fw' Uw 
14.59,F' D' B' L' D' L' U F B2 L' B2 R' B2 R F2 L B2 R' F2 R' B Fw' Uw 
16.13,R2 L' U F B2 R2 F R F' U2 F' L2 D2 F2 R2 F' D Fw' Uw2 
DNF(23.00),D F2 L2 F2 R2 D' U' R2 D L2 B2 R2 B' R U' L U2 F' U2 R' B2 Rw' 
14.59,D' R2 D F2 D' B2 L2 U2 B2 L2 R2 B' L D' B2 L' D' F' L2 U2 Rw 
13.23,B' D F2 U F2 L2 D' B2 U2 R2 U' L B U' R D' F' R' F' D2 Rw Uw2 
DNF(19.92),L D2 R L' U F L2 F' L B2 R2 F R2 B' R2 F2 R2 Rw2 
14.34,R2 B' R2 F' R D' L' D B' U' F2 B2 U B2 D2 R2 F2 R2 B2 D 
16.45,L F2 D2 U2 L' B2 R2 B2 R' U2 L' D' L2 B R F L B D R2 Rw Uw2 
DNF(18.23),L F' L2 F2 L2 D2 L2 F' U2 F2 D2 R2 L' F' L' D' B' R' F R2 Rw2 Uw' 
20.20,R' D F2 R2 F2 R2 D' L2 F2 D' R2 U L R F' U' L2 D' U' F' Fw Uw2 
DNF(16.38),R L B U' L D2 F' L U L U2 L' F2 U2 R' D2 B2 R2 U2 B2 Fw Uw2 
14.27,L' U2 F2 D' L2 D' R2 D F2 U' L2 F D2 B U' R' B2 D2 R' U' Fw Uw' 
14.92,D2 F2 R U2 R2 B2 D2 L' F2 U2 B2 D' B U R2 F' D B R' Rw Uw 
DNF(14.90),R F' L' B2 R2 D2 U' B2 U R2 B2 U' B2 U' B R B2 F' D L B2 Rw2 
19.28,U2 B' D2 F2 U2 L2 F L2 D2 R2 U2 D' L B F D F R' B' R2 Rw2 Uw2 
18.17,U D R' F' B' L F L B2 R' F2 B2 U2 F2 U2 R B2 U2 R' U' F' Rw 
DNF(20.71),R2 B2 D2 F' R2 F R2 B U2 F' R2 U2 D' R D' B2 R2 U2 F' R' Rw 
17.86,R2 B R2 B U2 B' L2 B R2 B2 D B' L B F' R2 D R2 F' Fw Uw 
17.15,L2 B' U2 D R F B D L U2 F2 D2 B' L2 B U2 F2 U2 R2 D2 F Rw Uw2 
DNF(20.64),D2 R2 F2 D L2 D R2 U L2 F2 U L' F D' B R2 D2 L R2 F2 U Rw2 
14.98,U' F2 L2 B2 R2 F2 D B2 F2 R2 L B R2 U2 R' U2 F' L F' D' Uw' 
24.68,U2 L2 D' F2 D2 B' R2 U R' L2 U2 L2 U2 B D2 L2 F U2 F' D2 Rw2 Uw' 
DNF(27.31),B L2 D L2 F2 L2 R2 U R2 D' F2 D2 U L F D' R2 B F L2 D' Fw Uw2 
DNF(17.79),R2 D2 L2 U' R2 U' R2 U' B2 U' B' L' R2 D R2 F2 L2 D B' F' Rw' 
18.62,F2 U' L' D2 F' D R D U2 B D2 R2 F' U2 D2 F2 D2 R2 U2 D Rw Uw 
16.71,R2 B' U2 B2 U' F' R' U2 R' B2 R U2 L' F2 R U2 R F' R2 Rw' Uw' 
DNF(17.54),U F' L2 D' B2 U' F2 D B2 U2 B2 R2 L' F' D2 L2 U' F' U L Rw' Uw 
17.37,U2 F R U' R' F2 D' F R F2 L2 D' B2 U R2 U2 R2 F2 B2 D2 Uw2 
16.75,D2 U2 B2 R2 D2 F2 R F2 R2 D2 R U' B F' U F2 D B2 L' B' U2 Fw Uw2 
14.31,R2 D2 R2 F2 D2 R2 B D2 L2 B' D U' B' D L D2 U R D' B2 Fw Uw' 
DNF(16.70),F2 U2 R' B2 D2 L' U R B U2 R2 B' L2 D2 R2 B' U2 D' Fw' 
DNF(0.08),D' R' F B' U L' D' B' L2 B2 U' B2 R2 U' R2 D L2 B2 D R2 Fw Uw 
15.05,B F2 L2 U2 R D2 R' D2 R B2 D2 B2 U' F2 L B2 U F' L U2 Rw' 
22.07,U R U' L2 D' B2 L2 D L2 F2 D R2 U' B' L B F' L' B R U' Fw' Uw' 
17.56,U2 L' D2 F2 L' B2 L R2 F2 R2 B2 R' D' F U2 B R' D2 L' D U Fw Uw' 
18.63,L F' D B' L' F R' D' F' U' L2 D R2 L2 D2 B2 R2 D' R2 L2 F2 Fw' Uw2 
DNF(22.75),F R2 F U' F' R' B R L B L2 U2 D2 F2 L2 U' R2 D' B2 Rw Uw2 
15.99,U' B2 D2 B L D' R' U' R' L2 U2 R2 F2 B L2 D2 F2 L2 D2 F Rw2 
DNF(0.01),D' U2 F D2 F' L2 R2 B' L2 F D2 L2 F' U' B R U' B R2 U2 B' Fw' Uw 
20.32,D2 F2 L2 U F2 D F2 D2 L2 D' B2 L B2 U R' F D B' U L Rw2 
19.89,B' D2 B F2 R2 D2 B2 F' L D' L B U' F D2 R2 U' 
18.19,D' L2 D' U2 B2 D B2 F2 D L2 B' U' B' L' D' U' R' U F2 Uw' 
DNF(14.97),L' F L B2 R F2 R' D2 B2 R2 B2 F2 U2 D L' D L2 D2 F' L' Fw Uw 
DNF(0.03),R2 D B2 U2 B2 L2 R2 D B2 D R2 L D' L F' L' B R' U' R U' Rw 
18.56,B R L2 F2 U' F2 R2 F2 L2 D F2 D U F R B L B2 D' L U Fw' Uw2 
DNF(0.08),R2 D' U2 R D2 R2 B2 F2 R B2 L D2 R2 F2 U F' L' U2 B F2 D' Rw Uw2
DNF(19.26),L' U2 R' D2 B' R' D' B R U2 F2 B2 R U2 D2 R2 L' B2 U2 L2 Fw' Uw2 
16.58,D F2 R2 B2 D2 F2 R2 D2 F2 D' B2 L' D2 B' R' B' D2 B2 D R' Rw 
14.76,B2 D' B D2 L2 F2 R2 B L2 D2 L2 B2 F' L' F U2 F' R D B2 L Fw Uw' 
16.47,L D' R2 B2 U' L2 B2 D' L2 D2 F2 L2 F' R' B2 L D' B2 R U' L2 Uw2 
16.20,U2 F2 D2 R2 B R2 B L2 B R2 F2 L' D2 B2 L D' F' L' B' D2 R Fw' Uw2 
20.22,R' L2 D2 L2 F D2 U2 F U2 B' F' U2 D R' F' D L' U L' U Rw Uw' 
DNF(22.05),F B R2 B2 L2 D R B' D2 F2 D B2 R2 U L2 F2 U' F2 R2 F2 B' Rw Uw' 
DNF(27.64),R2 B' R D' F' R' F' R U' L2 B2 D2 F' R2 B U2 F' D2 Fw Uw' 
DNF(19.15),D2 B' D2 L2 U F2 D' B2 U L2 U' L R' U B R' D2 R2 U' Fw 
DNF(16.20),R F' L' D' F' B2 L B2 U' D' R2 U' F2 U F2 B2 U' F2 L2 F' U Fw Uw' 
18.03,R' U' F2 D B2 R2 D2 R2 U' F2 D' R F' L2 U2 L' F R' U2 F' Uw2 
20.98+,D L2 D2 B U2 F2 L B' L2 U2 F2 U' B2 R2 U B2 R2 B2 R Uw2 
14.80,L' U' L2 F R2 F2 L2 U2 B2 R2 F' D2 U2 L' D' F R' B' U' B U Fw Uw' 
15.63,R D2 R F2 L' F2 R D2 F2 R2 U2 F' R B' U B2 L' D U2 L' Rw2 Uw 
17.82,U B' R D' B2 R2 F2 R2 U B2 D L2 U2 L' B' D' B2 R B' U Fw Uw 
DNF(18.67),D2 L2 F2 L B2 R U2 L' U2 F2 D2 R D' B F' D L2 U L D' L' Rw2 Uw2 
14.03,F2 U' R2 F2 R D2 U2 R2 B2 L D2 U B' R' D U2 F' D' Rw2 Uw 
19.61,F2 U2 B2 L' B2 R' F2 U2 R2 U' B L' R' D L B U B' Fw' Uw 
18.66,D B R2 U F2 U B2 F2 D F2 D2 L2 U' F2 B D2 U R D' L' D' Rw' 
DNF(1.98),B R2 D' B2 U2 L D' B' D' F U2 B' D2 B R2 B R2 L2 F2 L2 Rw2 Uw2 
DNF(24.11),F U' R' F' R' F' D' F R' B2 R2 D2 F2 U F2 R2 U B2 Rw 
DNF(20.74),F L2 D U2 F U2 R2 D2 F' U2 B' L2 R2 B' L' D R2 U' B' L R Uw2 
DNF(22.25),B' R2 D F2 L2 U2 B2 D B2 U R2 D2 B2 F D L' U L' F R B Fw' 
17.02,F2 D B U2 L2 F L2 F R2 B' L2 B2 U2 L2 U R U2 R F2 D B Rw2 
16.03,D' U F2 D R2 D' R2 B2 L2 F L B' U' R U2 F2 D2 F' U2 Fw' 
DNF(21.44),F' B L' D2 F2 D L2 F' L U2 F R2 B' U2 L2 F R2 B' R2 B2 R2 Rw 
14.96,R' D U2 L B2 R2 B2 F2 R B2 F2 D F L2 R2 U2 F R' Rw Uw' 
DNF(15.95),R' L2 F2 R' F B D R D F2 D2 F2 U' R2 L2 U L2 B2 U' Fw' Uw' 
24.85,L' B L U2 B2 L B2 L B2 R' D2 R' F U' R2 B2 D' B2 D Rw' Uw 
18.84,U2 D2 B L' B2 U' F' R2 U' L2 D' R2 D' R2 U L2 U B2 U' R' D2 Fw Uw 
16.97,U2 R2 F2 D2 U2 L2 B' R2 F' D2 L D F U2 R F D' L2 D' F2 Fw' 
DNF(21.63),L' R2 D L2 F2 L2 D L2 F2 D' F2 U F L R2 F2 U L' U' L' Rw Uw 
DNF(0.08),R2 F' L B' D L' B2 U F' D2 F R2 F2 L2 U2 F' U2 F' R2 U Rw Uw 
17.83,B2 L2 D2 B2 L' B2 U2 B2 L' F2 L' D2 B R2 D R F' R2 F R2 U2 Fw' 
DNF(25.09),L' F' L F2 L2 F2 D2 F2 R U2 B2 R' U R2 B' R2 F R2 D2 Rw Uw' 
19.38,R B2 L2 D' L2 D2 R2 U' L2 U B2 U L' D' F D2 U' F D L U' Rw Uw2 
22.09,U R2 L B' D B2 U R' D U2 F' U2 B' R2 D2 B2 U2 B' R2 U2 D2 Rw' Uw' 
DNF(0.19),D L' U2 F2 U2 B2 L B2 R' F2 R F2 R' B U F R U2 R' D F' Fw Uw' 
15.41,F L2 F' D2 L2 R2 B' R2 D2 F D' L B F D2 L F2 D2 U F2 Rw2 Uw 
DNF(8.61),L2 U2 B2 U' R2 U' L2 U2 L2 D R2 L' U R D R' B' U' B' R' F Rw' Uw2 
30.16,B D' R' B2 L B2 U2 L B2 L' B2 D2 L D' B U L' D B L2 Fw Uw 
DNF(0.03),R' L2 D2 B2 U B2 L2 D B2 U F2 D2 F D' U2 L R' U B2 L' Rw2 Uw' 
17.00,D2 B2 D2 F2 L2 U2 L2 R' B2 L2 R' B D2 B2 R F D R' D2 B Fw 
DNF(22.80),F' R' B' D2 R2 U L2 U' F2 U' L2 D2 F' R' U2 R' D' U L' Fw' 
DNF(21.46),R' D2 F2 U2 F2 L B2 F2 D2 R2 F2 U' L' D' R2 B R U B D' Uw' 
21.25,R' F B R U' F' D R F' U' F2 U R2 D2 L2 D R2 U' B2 U B2 Fw' 
DNF(7.95),F' L2 D2 B2 L' D2 R B2 R2 F2 U2 R D' L F' U2 R B D U2 Uw 
11.83,U2 R2 F R2 D2 B' L2 F' R2 D2 B' F' L' D R2 D2 L F' L' F' L2 Uw 
17.50,D2 L2 R U2 F2 U2 B2 U2 L2 F2 R' B' U L U' F D' R U F' Rw' Uw2 
15.63,F2 D U L2 U' B2 L2 F2 L2 F2 L' B L U L2 D L R U' B2 Rw2 Uw2 
DNF(19.71),L2 U2 R2 D' F2 D' U2 B2 D' L2 F' U' L' D' L D2 L' B' R' D Fw' Uw 
16.95,D' U2 B2 D2 R2 F' U2 L2 U2 L2 F R2 F2 R' U' F' R' B F2 R2 B2 Fw 
DNF(0.08),B' D' R' L2 D L2 F2 D2 B2 D2 F2 L2 U B L2 D U2 F R' F Fw' Uw' 
DNF(16.82),U F D' L' U' D2 L2 U R2 F' U2 F' U2 F D2 R2 F' B2 D2 L2 Uw' 
DNF(14.90),B L' F2 U2 L2 D R2 F2 L2 D B2 U' L U' B U L2 B' R' Fw Uw 
15.58,F' R' F2 B D' B' D2 F' L2 D2 F2 L U2 F2 B2 R F2 U2 R2 D 
17.51,F' R F2 L F2 D2 L R F2 D2 L F2 B D B' F L2 U' R' Uw2 
17.16,D2 L' F2 R B2 U2 R U2 R2 D2 R F2 D R F D2 F2 L2 D' L' Rw Uw 
DNF(0.03),B L2 U2 F2 U B2 F2 U F2 U F2 R' D F L R B2 F' D' R2 Uw2 
14.96,U2 B' D' B2 U' B2 L2 B2 D2 L2 D' U2 L2 B' L' D' R' F D2 B2 D Fw' Uw 
DNF(16.31),B R' F2 R2 U' F2 D B2 L2 F2 R2 D2 L F' U2 L' R' F' R' U' Rw' Uw 
DNF(17.44),R F2 D2 F U D' B2 R' D' R2 U2 L2 U2 B' R2 L2 U2 F' R2 F B Uw2 
13.60,U' R2 F2 L2 R2 U L2 U' R2 D2 B2 U B' L F2 D' F U2 B D2 Rw' 
DNF(18.21),B2 R' F2 D2 U2 L2 U2 B' U2 B' D2 B2 D2 U' B' R D2 U L B' Rw' Uw' 
DNF(17.92),B2 U' R2 U2 R' U2 F' L2 D' F2 U' R2 B2 U B2 U2 R2 U L B Rw Uw2 
22.69,R D R F B L2 U L B2 U2 R2 U2 L2 F2 R2 B' U2 F2 L2 F2 Fw Uw 
DNF(1.80),F D' B2 L2 D R' U2 L D2 F2 L2 B' L2 U2 F2 R2 B' R2 D2 R2 D' Uw2 
DNF(1.66),U2 B R' D' F2 R F' B U R2 D2 B2 D R2 D2 F2 B2 D' F2 U' R Uw2 
DNF(11.72),F2 L B2 D2 L' R2 D2 R B2 F2 R' B' L F2 U' B2 F L U B L2 Rw 
DNF(0.08),B' R' B L' U2 R2 L' F U F2 D' R2 U2 L2 F2 B2 D' B2 D2 R' Rw2 Uw' 
DNF(0.08),F' R B R2 L' U F U2 F2 U' R2 B2 U2 B2 D L2 D R2 F R' 
DNF(0.17),B2 D2 L2 R2 U' R2 U2 F2 R2 B2 U' B R F L' R U R B' L2 U Uw2 
16.64,U2 F' U2 B2 U2 R2 F2 R2 F' L2 B' D L U2 B L' U L R' F2 Fw' Uw 
DNF(20.50),L2 D F2 U' L2 U B2 R2 B2 U2 R' F' L' D U L' R' U2 B' Rw 
15.82,B R2 B R' D B U' F R F2 D F2 B2 R2 U' F2 U' B2 D2 Fw Uw2 
11.91,R2 D2 R2 D' L2 U L2 F2 L2 U' R2 D' R' F D B' L' D B L' R' Uw' 
DNF(16.27),D' R2 F2 L2 D' F2 D' L2 F2 D R U2 R U' B L' B U' L2 F Uw 
17.54,D' L2 D' L2 U R2 U B2 L2 R B' F L2 D R2 F R F D Rw' Uw 
17.55,F L' B' L' U R2 B' U R2 F2 D2 R' F2 L' F2 R U2 F2 L2 D2 Rw' Uw' 
18.32,R2 B' U2 B2 L2 F L2 R2 D2 B' U2 R2 D R' B2 L2 F L F2 D2 U' 
DNF(0.97),D2 L2 U B2 U L2 D' B2 F2 L2 F2 D2 F' L R U R' U2 R' F Fw' 
13.35,R2 D2 U2 R' U2 L' R F2 D2 R U2 B2 F R D' B D' U F L' F2 Fw' Uw 
17.06,U B' L2 R2 B' R2 F R2 U2 L2 R2 B' F' U' L2 R U2 L B F' Rw2 Uw2 
DNF(20.38),U' R2 B2 F2 D B2 D' F2 D' R2 U2 F2 L' D B U2 R2 U' B D U' Fw' 
15.40,F2 D F2 D' B2 D2 B2 L2 B2 R2 U2 L' U' L B' L2 D' L' B2 F' R Fw Uw 
17.33,L2 B' L U2 L D2 L F2 D2 L U2 F2 U2 R' D B U F' U B2 F2 Fw Uw2 
DNF(18.66),B' U2 L' F2 D2 F2 D2 L B2 R2 F2 L F2 U B2 L' F R2 U F' U2 Rw' 
DNF(15.82),R2 D F' R F' D2 L' R2 F' D2 L2 U2 F2 L2 F U2 L2 R' B Fw Uw2 
DNF(14.38),F' B2 D' L' U2 R' D' F' R2 D F2 B2 D2 R2 U' F2 D' F2 D F2 Rw Uw2 
13.89,R D' F' U2 L B' U B R2 B2 R2 D2 B2 D F2 L2 F2 U R Fw Uw 
DNF(15.09),R U2 F' D R D2 R2 F' L' D2 L2 F2 R2 U' L2 D2 L2 U B2 R2 U' Rw2 
DNF(22.96),D2 R D2 L' F2 R D2 F2 D2 U2 L' U' B2 R B' F' D2 B2 D U Rw2 Uw 
18.77,L2 U2 F2 D' U2 L2 R2 B2 U2 L D' F U' R D' F2 R' B D' Uw2 
17.43,F' R2 D2 F2 L2 B R2 U2 B' R2 U2 F D' L D F2 D' R' D2 
17.25,F2 D' L2 B2 U' B2 D2 B2 L2 B2 L' F' R2 B' F2 R F' R2 F2 R2 Rw' 
16.30,L2 U' R2 D' B2 U' L2 B2 D R2 D F' D' L U2 F2 U' B R D R' Fw' Uw 
DNF(21.29),R2 D B2 L2 B2 R2 D2 F2 D R2 F2 L U L' B L R' F' D F' U2 Fw Uw2 
18.38,U R F2 R' B2 R' D2 R F2 L U2 L F2 U' R' B' F D2 U' F D Rw2 Uw 
21.27,R D B2 U' F2 R2 U2 R2 U F2 L2 R2 F R2 D L' U F L R F2 Fw' Uw2 
18.29,L' D R2 B2 U2 R2 B2 D' R2 U B2 L2 U R' B' F' U L' R' U F Rw Uw2 
DNF(17.87),B2 D' L2 U B2 D2 F2 L2 D' B2 L' F' D B L' F2 D' F' L2 B Fw 
DNF(15.98),U B2 R' B' R U L D B L2 F2 D2 R2 U2 R' B2 D2 B2 L Fw Uw' 
13.48,R B2 F2 L' R2 D2 B2 R2 D2 F2 L' B L2 R2 D' L2 U' B' L Fw Uw 
19.87,L2 F2 R2 U2 L' F2 R' B2 D2 F2 R F D' U' L2 B' D' U2 R D2 Rw' Uw' 
15.65,L2 D2 F' L' D B' U' R B' L2 D2 B D2 F2 R2 L2 B' R2 U2 B2 D Rw2 
18.79,L2 U2 D' F2 L' F2 B' D R L F2 B2 R' U2 R2 F2 B2 U2 R' B' Rw' Uw' 
15.42,F L' D R U2 F R' D2 B' L2 U2 F D2 B' R2 F' R2 F D L2 Rw2 Uw 
15.50,B L' D2 L2 U F2 D' R2 B2 U' F2 R2 B2 L2 R D' F L2 F' D U' Fw Uw2 
24.28,F2 L2 B2 L2 U2 B R2 F R2 B D2 U2 L R' D' B' R' B' R' F R Rw2 
16.52,R2 B2 D2 U2 L2 U2 F D2 B' L2 R D L' B D' B D F' U' R' Rw2 
DNF(17.72),D L2 B2 R2 D R2 U2 F2 U F2 U2 F' L2 R D' U R F' D' B' R' Rw 
DNF(17.93),L' B2 L D2 L2 D2 B2 R' B2 D' B' L2 F' R' B2 L R U Rw2 Uw 
DNF(22.66),D2 F L2 D2 F' L2 D2 F U2 R2 U B R2 B2 L' F' D B' U R' Fw 
16.54,D2 F U2 R2 B' F2 R2 F2 U2 R2 F' R2 L B' R2 F U' L2 B R D Rw Uw' 
DNF(20.59),U2 B2 D B2 D R2 U2 L2 U' F2 L' D' F D2 U' L' D2 B' U2 Rw Uw' 
DNF(17.19),F L' F2 R D2 R2 U2 B2 R D2 L U2 R U L2 R2 U' R B D' L Fw Uw' 
DNF(29.60),B F R2 B2 F' R2 U2 L2 R2 F L2 D F2 U2 L2 D' R D2 U F2 Rw Uw2 
DNF(15.17),L' U' R' D' B L B' U' R' U2 B2 R U2 L' F2 B2 Uw' 
DNF(15.36),U' F2 U' F2 U F2 R2 U' B2 L2 R2 B' D2 R B' L B D B2 Fw Uw' 
19.03,D' R' F D' L2 D F' L' U2 F2 L' U2 L' F2 B2 U2 B2 U2 R Rw2 Uw' 
DNF(19.58),D' L2 D' F2 U' F2 U R2 U2 L2 F2 L' D2 B2 U B' D' B2 R' F D Rw2 Uw' 
DNF(17.25),R2 D' F2 D' F2 D' B2 D' F2 U' L2 B L2 D L' U' F2 L2 F R B2 Fw Uw 
20.29,F2 D F' B D' B' U2 B2 L F2 L2 U R2 U2 L2 B2 U' F2 D' Fw Uw2 
DNF(0.08),R D2 L2 U2 L2 U2 L' B2 R' U2 F2 D' B R2 U' F' R' F U' B2 Rw' Uw2 
DNF(25.51),U2 F L F2 U B' D R' D' L2 F2 U L2 U2 L2 B2 U' L2 F2 U R' Fw' Uw2 
17.24,F U2 R U2 F2 L B2 L2 U2 B2 L' R B' D' B2 D' B L' U2 Fw Uw' 
14.40,L' B2 L2 F2 D R2 U2 B2 U L2 B F U' F' D' R' U F2 D2 Fw' Uw' 
